Throughput,Net_Life,Net_Energy,Latency,Energy_Balance
1.0,1.0,200.0,0.0,0.0
1.0,1.0,185.88896794934752,5.26839288554924,0.0009723053757984092
1.0,1.0,171.51552098517527,5.463119692908122,0.000980305179984681
0.9885282623741594,0.97,157.60771959647428,9.27639726815981,0.0008310812819540244
0.9015503455171142,0.92,147.39005587902773,10.303576180074291,0.0005784383045047058
0.8287926409803553,0.89,141.19661513717426,10.00265521745973,0.00037491064289667177
0.7804059577454181,0.88,135.77404860894097,9.5413093277719,0.0003073709690144877
0.7455783837527709,0.88,130.93853734643375,9.595912606662703,0.0003019981630838791
0.7154555657969816,0.87,125.94735473243982,10.107048781985725,0.00028564776564321407
0.6863035253578431,0.84,121.69506141594874,11.132857781354499,0.0002373837757116524
0.6619038720891757,0.83,118.45274453237066,11.148952452948684,0.00022737830464884104
